,Unnamed: 0,Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID,Year,Month,Day
2973,83065,2024-02-02,Checking or savings account,Checking account,Problem caused by your funds being low,Late or other fees,"LAST TRANSACTION {55 TRUIST HAS FRAUDULENTLY TAKEN MONEY OUT OF 2 OF MY ACCOUNTS FOR MAINTENANCE FEES ( UNAUTHORIZED ) PAYROLL FEES FOR APPROX. 4 YRS. ( THIS HAPPENED UNDER SUNTRUST BANK PRIOR TO THE MERGE W/BBT BANK DURING COVID-PANDEMIC-WHEN BANKS WERE CLOSED AND ONLY DRIVE-THRU WAS OPEN ) .PER THE BRANCH MANAGER I ENTERED THE BRANCH ON GA & SHE ALONG W/BANKER SET UP SERVICES TO INCLUDE PROOF I HAVE OF EMAILS DIRECTLY FROM WHICH WERE SUBMITTED TO TRUIST AS EVIDENCE. I CONTACTED TRUIST ON AFTER SEEING UNAUTHORIZED FEES OF {55 DRAFTED AND WAS TOLD IT WAS FOR PAYROLL SERVICES THAT I DONT HAVE. MY BUSINESS DOESNT USE PAYROLL AS ALL EMPLOYESS ARE STAFFED THRU A TEMP SERVICE. I WAS TOLD THAT I NEED TO GO ONLINE TO CANCEL AND CALL THE TRUISPAYROLL DEPT. AT THIS NUMBER IS MISREPRESENTED BY TRUIST BANK AS THE CALL IS PICKED UP BY TRUIST PAYROLL DEPT, HOWEVER, THE EMPLOYEES ASSOCIATED TO THAT NUMBER WORK FOR A 3RD PARTY COMPANY CALLED THIS WAS NEVER REVEALED UNTIL I CONTACTED TRUIST FRAUD DEPT AND WAS GIVEN THE "" TRUIST PAYROLL DEPT '' # ABOVE. ALSO, AFTER CALLING THE "" PAYROLL DEPT '', I SPENT 4 DAYS TOTALLY 8 HRS SPEAKING TO AND MORE REPS WHO GAVE MANY INTERNAL CASE # S I WAS TOLD I WOULD RECEIVE A COURTESY 3 MTH CREDIT AS THE CASE IS BEING ESCALATED. THE TOTAL FRAUD DRAFT WAS {33 AND AS OF TODAY, I RECD {55 CREDIT AND AT ESCALATED THE FRAUD AND CREDITED {5 I REC 'D ANOTHER DRAFT IN AND TRUIST CLAIMS ITS FOR PRIOR MTH CHARGES. THIS COMPANY CONTINUES TO DRAFT FEES UNAUTHORIZED. I REQUESTED DOCS FROM THE PAYROLL DEPT. WHICH THEY CLAIM WERE SIGNED ELECTRONICALLY & NO ONE WILL SEND COPIES WHICH WERE NOT SIGNED ELECT. BY ME BUT FORGED BY THE BRANCH. I WAS TOLD BT TRUIST FRAUD THAT PAYROLL HAS A PAY AS U GO OPTION WHICH IF I USED THEIR SERVICE, WOULD'VE CHOSEN THAT! I EXPECT A REFUND. REFUND THE REMAINDER BALANCE OF {28 FOR PAST UNAUTHORIZED FEES AND {55 FOR THE DRAFT ON IMMEDIATELY.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,TRUIST FINANCIAL CORPORATION,GA,30017,,Consent provided,Web,2024-02-02,Closed with explanation,Yes,,8274944,2024,2,2
1546789,4223813,2024-01-06,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,"In 15 days from the present date, I anticipate the receipt of a monthly updated credit report. I trust that the items highlighted in this complaint, as well as those identified in my previous complaint dated have been addressed and rectified in the impending update. It is imperative to emphasize that, in accordance with FCRA Section 605B ( a ) Credit Reporting Agencies are mandated to expeditiously remove any items flagged by the consumer as information stemming from a purported identity theft within four business days of receipt. Regrettably, despite my persistent efforts through various correspondences, these fraudulent items remain unaddressed within your records. I implore you to adhere to the legal stipulations outlined in FCRA Section 605b, which necessitate the removal of the items detailed in the identity theft report The specific items are reiterated below for clarity",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NV,89081,,Consent provided,Web,2024-01-06,Closed with explanation,Yes,,8110129,2024,1,6
1472,53210,2024-01-27,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account status incorrect,"I am writing to file a formal complaint regarding a collection account labeled that has been inaccurately reported on my credit report. The presence of this unverified collection is causing severe harm to my credit score and is taking a considerable toll on my overall well-being, leading to significant stress and To the best of my knowledge, the creditor responsible for this collection account has failed to provide proper verification of its legitimacy and accuracy. This lack of verification has led to an erroneous credit report entry that is negatively affecting my financial standing. The unjustly reported collection account has resulted in a substantial and undeserved negative impact on my credit score. Additionally, the stress and that have arisen from this situation are affecting my overall quality of life. I firmly believe in the importance of accurate credit reporting and the duty of creditors to verify the legitimacy of their claims before reporting them.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,CORELOGIC INC,MD,20743,,Consent provided,Web,2024-01-27,Closed with explanation,Yes,,8237770,2024,1,27
625342,1670949,2024-01-02,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,"In accordance with the Fair Credit Reporting Act. The List of accounts below has violated my federally protected consumer rights to privacy and confidentiality under 15 USC 1681. Account Name Account Number Account Name Account Number Account Name Account Number Account Name Account Number Account Name Account Number Account Name Account Number Account Name Account Number Account Name Account Number Account Name Account Number Account Name Account Number has violated my rights. Or a list of inquiries : 15 U.S.C 1681 section 602 A. States I have the right to privacy.15 U.S.C 1681 Section 604 A Section 2 : It also states a consumer reporting agency can not furnish a account without my written instructions 15 U.S.C 1681c. ( a ) ( 5 ) Section States : no consumer reporting agency may make any consumer report containing any of the following items of information Any other adverse item of information, other than records of convictions of crimes which antedates the report by more than seven years.15 U.S.C. 1681s-2 ( A ) ( 1 ) A person shall not furnish any information relating to a consumer to any consumer reporting agency if the person knows or has reasonable cause to believe that the information is inaccurate.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",VA,231XX,,Consent provided,Web,2024-01-02,Closed with non-monetary relief,Yes,,8090335,2024,1,2
3579,92314,2024-01-29,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account status incorrect,"I was in the process of closing a business account which caused my Wells Fargo truck payment to be declined. I received a phone call on and was told my account was late. I informed the supposed wells fargo employee that I would make the payment shortly after I corrected my bank account information. She pressured me to pay over the phone, however, I refused due to the number of scammers that are allowed to function in society today. She pressured and I refused. Apparently, this conversation didn't sit well with this person as i believe she sabotaged my account going forward, due to the following issues with my account I stopped receiving phone calls from Wells Fargo regarding my account I stopped receiving emails from Wells Fargo regarding my account The new account I set up for recurring payments ( I had to do deposit verifications for this account, so the account IS LINKED, ) however, my recurring payments that I setup apparently got cancelled somehow. I went back into my account to try to resetup the recurring payments but the website will not allow it ( attached ) which is even more indication that my account was tampered with. Due to the lack of notifications from Wells Fargo and the mystery cancellation of my new recurring payments, I received a 30 day late. This was the only notification that my account was past due. I have perfect credit and no lates on my credit report other than this one. I received the 30 late notification on from and I immediately called customer service but they could do nothing about it, so they opened an executive request. I received a call back from someone a week later. She was prepared to tell me something but apparently had no information regardng the problem. I informed her of the issues surrounding this account and she said they would get back with me. They never did. I have since paid off the {6 truck loan as I can no longer trust doing business with Wells Fargo due to this issue and their lack of concern for it. They apparently think I'm just another person who does not pay their bills which is obviously not the case here.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,CO,808XX,Servicemember,Consent provided,Web,2024-01-29,Closed with explanation,Yes,,8247391,2024,1,29
233799,798453,2024-01-10,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,"These Accounts should not be furnished on my consumer report as they are in VIOLATION! Under, 15 U.S. code 1681b-Permissible purpose of a consumer reports ( a ) IN GENERAL Subject to subsection ( c ) any consumer reporting agency may furnish a consumer report under the following circumstances and no other. ( 2 ) In accordance with the WRITTEN INSTRUCTION of the consumer to whom it relates. I NEVER gave any consumer reporting agency WRITTEN CONSENT to report anything on my consumer report which violates my rights as a federal protect consumer. NO CONSENT IS IDENTIFY THEFT. As a consumer I am demanding the deletion of the accounts listed IMMEDIATELY! I found out in that I have a collection account is not mine. I did not authorized any agency or nothing to use my information. I did not sign any document or nothing to this company.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"SUNRISE CREDIT SERVICES, INC",FL,34608,Servicemember,Consent provided,Web,2024-01-10,Closed with explanation,Yes,,8134330,2024,1,10
717,28373,2024-01-31,Credit reporting or other personal consumer reports,Credit reporting,Credit monitoring or identity theft protection services,Problem canceling credit monitoring or identify theft protection service,"ON I CONTACTED THE COMPANY BY PHONE. I REQUESTED THAT THIS IS ABOUT THE 8th TIME SENDING COPIES OF MY SSN CARD, PROOF OF ADDRESS TO VERIFY MY IDENTITY AND FOR THEM TO REMOVE ALL INACCURACIES FROM MY REPORT. UNDER USC 15 1681g I REQUESTED TO SPEAK TO A SUPERVISOR. UPON EXPRESSING TO HIM THAT THE COMPANY CONTINUES TO SEND ME A REPORT WITH SOMEONE ELSE 'S SSN ON MY FILE. I AM REQUESTING THAT IT HAS TO BE REMOVED IMMEDIATELY AND HIS RESPONSE WAS IT BELONGS TO YOU AND IT WILL REMAIN ON MY FILE. THIS WILL BE THE MY LAST ATTEMPT TO HAVE THESE ITEMS REMOVED. UNDER. USC 15 1681g subchapter ( e ) ( 1 ) PARAGRAPH 1. I HAVE PROVIDED THE COMPANY WITH ( i ) the presentation of a government-issued identification card UNDER USC 15 1681g subchapter ( d ) ( 1 ) I AM REQUESTING ANY DOCUMENTS USED TO VERIFY THAT THE ACCOUNT # ENDING IN THAT I OPEN THIA ACCOUNT AND ALL SIGNATURES BELONGS TO ME.I WILL BE SEEKING MONETARY DAMAGES FOR ALL VIOLATIONS UNDER FCRA.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Velocity Portfolio Group,NC,28273,,Consent provided,Web,2024-01-31,Closed with explanation,Yes,,8260630,2024,1,31
200069,627725,2024-01-08,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,"Complaint Regarding Non-Compliance with Negotiable Instrument for Debt Cancellation I am writing to file a formal complaint against and and as well as Name ] for their failure to honor a negotiable instrument, specifically a Form 1099-C, which legally cancels the consumer debt in question. I believe that their actions violate the Fair Debt Collection Practices Act ( FDCPA ) and other relevant consumer protection laws.I would like to bring to your attention that the negotiable instrument used in this case, Form 1099-C, is a legally binding document that should result in the cancellation of the consumer debt. The failure of the above corporations to honor this instrument raises concerns about their compliance with consumer protection laws.I am seeking the Consumer Financial Protection Bureau 's intervention to ensure that The corporation named above must comply with the relevant laws and promptly cancel the consumer debt using the negotiable instrument provided.[ Attach copies of relevant documents, including Form 1099-C, correspondence with the credit bureau and collections agency , and any other supporting evidence. ] I appreciate your attention to this matter and trust that the Consumer Financial Protection Bureau will investigate the issue thoroughly. I look forward to a resolution that upholds consumer rights and ensures fair treatment by the law. Thank you for your prompt attention to this complaint.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,PENTAGON FEDERAL CREDIT UNION,GA,314XX,Servicemember,Consent provided,Web,2024-01-08,Closed with explanation,Yes,,8121260,2024,1,8
80156,347753,2024-01-06,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,"I am a victim of identity-theft. I am writing to request that you block all the following fraudulent accounts in my files with Transunion and This information does not relate to any transactions I made. I did not authorize anyone to use my personal information. I hereby exercise my legal rights enacted by The Federal Trade Commission, which explicitly states when a victim files an affidavit it shall beg honored by all credit bureaus and all fraudulent information must be blocked within 4 days and proper notification shall be given to all furnishers pursuant to section 605b of The Federal Fair Credit Reporting Act. Failure to comply shall lead to complaints being filed with The Consumer Financial Protection Bureau, and Attorney General with legal action of your companys unlawful collection practices, misrepresentation of reporting inaccurate debts, and noncompliance to adhere to laws enacted to help those who are victims of identity-theft. I request that an extended fraud alert be placed in my file explaining that fraudulent applications may be submitted in my name. Do not extend credit without first contacting me personally and verifying all applications.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",CA,90262,,Consent provided,Web,2024-01-06,Closed with non-monetary relief,Yes,,8110165,2024,1,6
15761,141134,2024-01-17,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,investigated this charge and found in my favor back in and now its appearing on other credit reports,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",PA,195XX,,Consent provided,Web,2024-01-17,Closed with explanation,Yes,,8159341,2024,1,17
692,27360,2024-02-01,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,Amsher Collection Services place a collection on my credit reports that don't belong to me and hurt my credit report badly,Company believes it acted appropriately as authorized by contract or law,"Amsher Collection Services, Inc.",FL,34746,,Consent provided,Web,2024-02-01,Closed with explanation,Yes,,8264212,2024,2,1
3489,90548,2024-01-18,Credit card,General-purpose credit card or charge card,"Other features, terms, or problems",Other problem,"For the third time in less than 9 months this company has checked my credit and lowered my credit limit. I filed a compliant against this company in I believe with you all. You all did nothing about my complaint with this horrible banking institution. They have once again made an inquiry on my credit and reduced my limit. They just made an inquiry in There has been no changes between and on my credit. I have no late payments, no new negative or derogatory accounts. This company is targeting me because they have horrible policies that I complained about a few months ago, and still have not been changed. Every time they check my credit, that is an inquiry and that lowers my credit score, the lower my credit limit and that impacts my credit score as well. I will now contact every member of congress and get someone's attention about this matter every media outlet until change is made. There is no reason whatsoever to have my credit checked three times and my limit lowered each time by this company. Who else are they abusing and striving to ruin the credit of. I will reach out to each store that they also service with store credit cards to encourage that they cut ties with them and find another bank.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",MO,XXXXX,,Consent provided,Web,2024-01-18,Closed with explanation,Yes,,8173750,2024,1,18
3261,87695,2024-02-04,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,I am writing to delete the following information in my file. The items I need delete are listed in the report. I am a victim of identity theft and did not make the charge When the account was opened Account Balance : {65 Account name When the account was opened Account Balance : {3 Account name : Diversified Adjustme When the account was opened ACCOUNT BALANCE : {980 Account name When the account was opened Account Balance : {1,Company believes it acted appropriately as authorized by contract or law,"Diversified Adjustment Service, Inc.",MA,02169,,Consent provided,Web,2024-02-04,Closed with explanation,Yes,,8281560,2024,2,4
197931,618161,2024-01-05,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,"Maryland SSN : SS DOB : Date of Birth Transunion TransUnion LLC Consumer Dispute Center PA Re : This is not a regular dispute. Take action immediately you are in violation. ALL REPORTED DATA MUST BE COMPLETE, CORRECT, AND PROVEN IF CHALLENGED.I DO NOT GRANT YOU AUTHORITY TO REPORT VERSUS ME WITHOUT ADEQUATE COMLIANCE OF STATE AND FEDERAL LAWS BEING APPLICABLE THROUGHOUT. AS SUCH I DEMAND DELETION IMMEDIATELY OF YOUR DECLARED CLAIMS AGAINST ME.PER COMMON LAW, YOU ARE DEMANDED TO DEMONSTRATE THAT YOU CAN AND HAVE WILLINGNESS TO ABSOLUTELY VERIFY AND VALIDATE ( OR JUST SAY CERTIFICATE ) EVERY AND ONE EVEN EACH ANY AND OR ALL ALLEGATIONS YET PHYSICALLY DEFICIENT OR UNPROVEN MINE, CHALLENGED OR NOT.NOTE THE UNLAWFULNESS AND VILE INFRINGEMENT CREATED POTENTIALLY VERSUS ME SHOULD YOU CONTINUE TO RETAIN REPORT RESTRUCTURE RESELL RETURN OR ELSE WISE EVERY AND ONE EVEN EACH ANY OR ALL DATA, NOTATIONS, DATES, BALANCES, CALCULATIONS, AUDITS, ACCOUNTING RECORDS, REQUISITE 426-CHARACTER FORMAT FIELDED P6 STATEMENT ( S ) MANDATED 386 PARCELS OF CONFIRMATION NECCESSARY TO REPORT A COLLECTION ACTIVITY AND OR DEBT ALLEGED, THE MINIMAL FIVE ( 5 ) PORTIONED PERSONAL IDENTIFIERS, THE ALPHA- NUMERIC-AND OR ALPHANUMERIC SOURCE CODE ( S ) AS WELL AS EVERY AND ONE EVEN ANY OR ALL LEGISTRATIONS, ACTS, ARTICLES, PARAGRAPHS, - STATEMENTS, REGULATIONS, OBLIGATIONS OR OTHERWISE REQUIRED, WHETHER MENTIONED OR NOT.ANNUL IN BRIEF TODAY EVEN RIGHT NOW AND DO SO THEREAFTER MINUS ANY RESULTANT PREJUDICES AND OR INJURIES TO ME, REAL OR IMAGINED, WITHAL.NOTICE OF PENDING LITIGATION SEEKING RELIEF AND MONETARY DAMAGES UNDER FCRA SECTION 616 & SECTION 617 Please accept this final written OFFER OF SETTLEMENT BEFORE LITIGATION as my attempt to amicably resolve your continued violation of the Fair Credit Reporting Act regarding your refusal to delete INACCURATE, Unverifiable and Invalidated information from my consumer file. I intend to pursue litigation in accordance with the FCRA to seek relief and recover all monetary damages that I may be entitled to under Section 616 and Section 617 if the INACCURATE, Unverifiable and Invalidated items listed below are not deleted immediately. A copy of this letter as well as INACCURATE ERRONEOUS ITEMS sent to you previously will also become part of a formal complaint to the Federal Trade Commission and shall be used as evidence in pending litigation provided you fail to comply with this offer of settlement. YOU ARE IN DIRECT VIOLATION OF THE FCRA, the unverified items listed below still remain on my credit report in violation of Federal Law. You are required under the FCRA to have a copy of the original creditors documentation on file to verify that this information is mine and is correct. In the results of your investigations, you stated in writing that you verified that these items are being reported correctly? Who verified these accounts? You have NOT provided me a copy of ANY original documentation ( a consumer contract with my signature on it ) as required under Section 609 ( a ) ( 1 ) ( A ) & Section 611 ( a ) ( 1 ) ( A ) Furthermore you have failed to provide the method of verification as required under Section 611 ( a ) ( 7 ) Please be advised that under Section 611 ( 5 ) ( A ) of the FCRA you are required to promptly DELETE all information which can not be verified.Its very obvious that your agency doesnt know what the FCRA is because from the looks of my credit report and all the errors i see you are disregarding it so heres my breakdown. 1.The Fair Credit Reporting Act is the primary federal law that governs the collection and reporting of credit information about consumers. Its rules cover how a consumer 's credit information is obtained, how long it is kept, and how it is shared with othersincluding consumers themselves.2. What is a FCRA violation?Creditors give reporting agencies inaccurate financial information about you. Reporting agencies mixing up one person 's information with another 's because of similar ( or same ) last name or social security number. Agencies fail to follow guidelines for handling disputes.3. My rights under the fair credit reporting act Verify the accuracy of my report when it is required for employment purposes. Receive notification if information in my file has been used against me in applying for credit or other transactions.Disputeand have the bureaus correct and deleteinformation in my report that is incomplete, inaccurate, and unverifiable.Remove outdated, negative information ( after seven years in most cases, 10 in the case of bankruptcy )I demand these items be deleted immediately. I entered the items and the outcome I desire below because you are in violation and these items are not 1 % accurate and they are either INACCURATE, Unverifiable and Invalidated. i recently applied for extended credit and was denied i am in distress because of your mistakes. The law is very clear as to the Civil liability and the remedy available to me ( Section 616 & 617 ) if you fail to comply with Federal Law. I am a litigious consumer and fully intend on pursuing litigation in this matter to enforce my rights under the FCRA The following personal information is incorrect Account Number : Also Known As 2. The following personal information is incorrect Account Number : Also Known As 3. The following personal information is incorrect Account Number : Also Known As 4. The following personal information is incorrect Account Number : Previous Address ( es MD The following personal information is incorrect Account Number : Previous Address ( es MD 6 bankruptcy discharged Case Number The court has stated in writing and via recorded phone call attached to this dispute that they have no records of this account in their database nor do they disclose such informance or provide them to credit reporting agencies such as Transunion and Due to the fact the court has failed to provide proof that this account belongs to me and that they do not disclose such information to credit agencies I demand this account be removed. 7 Account Number I never had any business relationship with this company. Hence, there is no way this account belongs to me. Please delete this unknown account from my credit report right away. 8 Account Number This accounts name and number are questionable. Either clarify this information to me or delete this account immediately from my credit report. * Please remove all non-account holding inquiries Please note that you have 30 days to complete this investigation, as per the Fair Credit Reporting Act Section 611 ( a ) ( 1 ) ( A ) Be advised that the description of the procedure used to determine the accuracy and completeness of the information is hereby requested as well, to be provided within ( 5 ) days of the completion of your re-investigation and I am keeping a careful record of your actions, including your Method of Verification. I do not consent to or any means of automated verification. Failure to respond satisfactorily within 30 days of receipt of this certified letter may result in a small claims action against your company, seeking {5 per violation for : 1. ) Defamation 2. ) Negligent Enablement of Identity Fraud 3. ) Violations of the Fair Credit Reporting Act 4. ) Financial Injury My contact information is as follows 2 Maryland SSN : SS P.S. Please be aware that dependent upon your response, I may be detailing any potential issues with your company via an online public press release, including documentation of any potential small claims action. I am also including a copy of my complaint to the organizations below : CC of Enforcement Consumer Financial Protection Washington CC : Law Firm : Consumer Financial Protection Bureau CC : Attorney Generals Office CC : State Senate CC : Federal Deposit Insurance Corporation CC : Comptroller Of The Currency CC : Federal Reserve System CC : Credit and insurance CC : Federal Trade Commission CC : State Regulatory agency CC : California Regulatory agency Divison of consumer complaints Thank You, Sincerely",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",MD,21244,,Consent provided,Web,2024-01-05,Closed with non-monetary relief,Yes,,8111745,2024,1,5
619691,1658917,2024-01-02,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,"Dear Consumer Financial Protection Bureau, Under the Fair Credit Reporting Act ( 15 USC 1681, Section 602a ) it is emphasized that consumer reporting agencies, such as and TransUnion must carry out their responsibilities with fairness, impartiality, and respect for the consumer 's right to privacy. As a consumer, I am entitled to ensure the protection of my private information, as supported by 15 USC 6801, which states It is the policy of the Congress that each financial institution has an affirmative and continuing obligation to respect the privacy of its customers and to protect the security and confidentiality of those customers nonpublic personal information. '' The entity providing information to credit agencies, commonly known as the 'Furnisher of information, ' qualifies as a financial institution under this title. According to 15 USC 1681, Section 604 a ( 2 ) a consumer reporting agency may only furnish a consumer report in accordance with the written instructions of the relevant consumer. In this case, both the financial institution ( Furnisher of information ) and the consumer reporting agencies and TransUnion lack my consent and, specifically, my written consent to furnish this information. Referring to 15 USC 6802 ( b ) ( c ) which states that A financial institution may not disclose nonpublic personal information to a nonaffiliated third party unless the consumer is given an explanation of how the consumer can exercise that nondisclosure option. Unfortunately, the furnisher of information did not inform me of my right to exercise this option.Furthermore, 15 USC 1681C ( a ) ( 5 ) explicitly states Except as authorized under subsection ( b ) no consumer reporting agency may make any consumer report containing any of the following items of information : Any other adverse item of information, other than records of convictions of crimes which antedates the report by more than seven years. Therefore, reporting this adverse item without my permission is a violation of the law.According to 15 U.S. Code 1681s2 ( A ) ( 1 ) A, A person shall not furnish any information relating to a consumer to any consumer reporting agency if the person knows or has reasonable cause to believe that the information is inaccurate. Additionally, 15 U.S. Code 1681e mandates that every consumer reporting agency must maintain reasonable procedures to avoid violations of section 1681c and limit the furnishing of consumer reports to the purposes listed under section 1681b and TransUnion appear to be failing in maintaining these reasonable procedures. Furthermore, as per 12 CFR 1016.7 and TransUnion have failed to comply with all the laws mentioned above. I, the consumer, am rescinding any previous authorization given to whether it was written, unwritten, verbal, or nonverbal, to report ANY of my transaction history to ANY credit bureau. Not only am I opting out of all or any authorization, but I am also requesting that cease and desist immediately from all illegal activities. Finally, the CFPB is required to contact the consumer reporting agencies to update my consumer credit profile accordingly, specially for any transactions that has reported or any other transaction history or experiences I have with please have them fix these violations by deleting these transactions from my consumer report. Best regards,",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",GA,30096,,Consent provided,Web,2024-01-02,Closed with explanation,Yes,,8087933,2024,1,2
12421,129397,2024-01-25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,"I moved out of on on They are trying to charge me for "" damage repairs '' for this such as the paint on the light switches, scuffs on the wall that were already there when we moved in on and other normal wear in the bathtub. I asked for an itemized receipt on for the {37 charges for "" heavy cleaning '' despite my sister and I having deep cleaned our room we were renting as well as the common space since our roommates did not. They did not reply to my request. We were also charged another cleaning fee because our roommates left stuff on their side of the unit, despite us telling the complex it wasn't ours. We were charged {78 for "" wall and ceiling paint '', {50 for a cabinet repair when the cabinet was in tact once we moved out, and another charge of {39 '' for "" paint '', with no specification. They refused to provide us with the itemized receipt with descriptions for these alleged repairs that were just due to normal wear and tear. When I called, I was told that it was due to chipping on the light switch panel and scuff marks on the wall. The "" cleaning '' we were being charged for was for a SYRUP BOTTLE and a box of that once again belonged to our ROOMMATES that were left on their side of the unit.There is absolutely no reason why I am being charged anything because my room I rented with my sister was left clean with no intentional or abnormal damage done.",Company believes it acted appropriately as authorized by contract or law,"Carter-Young, Inc.",MI,XXXXX,,Consent provided,Web,2024-01-25,Closed with explanation,Yes,,8224023,2024,1,25
232752,789767,2024-01-10,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,"Avant acct ending in is violating my rights as a consumer for this account is not my account Avant has verified that they don't have no contract agreement with my physical signature.This a violation of 18 U.S. Code 1341 - Frauds and swindles I didn't give consent to this account for this isn't mine because there's proof of account is mines. ( See Attached ) For this also a violation of 12 U.S. Code 5531- Prohibiting unfair, deceptive, or abusive acts or practices. They are reporting to the credit Bureaus without my consent. Also Avant has been selling and trading my ( debt ) securities on the secondary market and profiting without compensation. This also a violation of 18 U.S.C. 1348 SECURITIES FRAUD Securities and commodities fraud is a serious crime under federal law, punishable by a maximum imprisonment of 25 years, plus a fine. 18 U.S.C. 1349 confirms that an attempt or conspiracy to commit a violation of 18 U.S.C. 1348 will be punished in the same manner as a violation of Section 1348 itself.",Company disputes the facts presented in the complaint,"Avant Holding Company, Inc.",TN,37128,,Consent provided,Web,2024-01-10,Closed with explanation,Yes,,8133232,2024,1,10
421,19691,2024-01-20,Checking or savings account,Checking account,Problem caused by your funds being low,Overdrafts and overdraft fees,"Since Of I have been neglected from overdraft Protection and have been paying fees that Bank Of America are lawfully obligated to pay on my behalf, Per the FCRA as a federally protected consumer I Business Bank account with Bank of America 's have not received the proper overdraft protection via FDICs Insurance coverage.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",GA,30019,,Consent provided,Web,2024-01-20,Closed with monetary relief,Yes,,8193480,2024,1,20
1565571,4273881,2024-01-07,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,"I have requested that and review the account from the account on my credit report was reviewed and updated from and transunion show two different payment history on the accounts, I want these accounts removed, according to The Fair Credit Reporting Act ( FCRA ) 15 U.S.C. 1681 et seq. governs access to consumer credit report records and promotes accuracy, fairness, and the privacy of personal information assembled by Credit Reporting Agencies ( CRAs ) this account is't promoting accuracy and fairness because it's reporting wrong and conflicting information from both credit agencies, I do intent to sue if this isn't removed from my credit report.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NY,125XX,,Consent provided,Web,2024-01-07,Closed with non-monetary relief,Yes,,8118715,2024,1,7
641382,1706159,2024-01-05,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,I just look at my credit report again and according to 15 USC 1681e ( b ) you are supposed to provide MAXIMUM accuracy of my credit report. ACCOUNTS ( Original Creditor DELETE THIS ACCOUNT because of violation of 15 USC 1681e ( b ) 15 USC 1681i ( 5 ),Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NJ,07111,,Consent provided,Web,2024-01-05,Closed with non-monetary relief,Yes,,8104118,2024,1,5
